patent_id,year,sent,keyword,sent_id
10795360,2020,"according to one aspect, a method for utility decomposition with deep corrections may include detecting a first entity within an environment through which an autonomous vehicle is travelling, a first current velocity associated with the first entity, and a first current position associated with the first entity, receiving a current velocity associated with the autonomous vehicle, a current position associated with the autonomous vehicle, and a target position for the autonomous vehicle, building a partially observable markov decision process (pomdp) model of the environment based on the first current velocity of the first entity, the first current position of the first entity, the current velocity of the autonomous vehicle, and the current position of the autonomous vehicle, decomposing a task associated with travelling from the current position associated with the autonomous vehicle to the target position into a first sub-task and a second sub-task and solving respective sub-tasks individually, generating a correction term based on a low-fidelity model associated with prior knowledge and a surrogate correction, and implementing a driving parameter for a component of the autonomous vehicle based on the pomdp model and the correction term to operate the autonomous vehicle autonomously.",the environment,22358
20210334646,2021,"in some embodiments, the method may further include discretizing, by the computing device, model weights for the neural network based on a finite number of bits while preserving the machine learning model output prediction accuracy.",prediction accuracy,71598
20200241538,2020,the environmental sensor can also scan the monitored zone in a three-dimensional protected volume.,the environment,60101
20210174107,2021,"this embodiment allows for a twofold access control since a vein pattern must first of all be classified as real and, in the subsequent step, also as sufficiently matching, in order to then enable, as the case may be, access to downstream systems.",access control,67906
20210005296,2021,it still another object of the present invention to provide a system and method for determining best practices for third parties accessing a health care network that can be accessed remotely.,health care,64540
20120253543,2012,“environmental parameters” refer to parameters of the environment effecting or targeted by the operation of the vapor compression system.,the environment,46641
20050108072,2005,"the response to a change in objective priority, e.g., an urgent delivery request making customer satisfaction the top priority, is typically achieved without regard to cost minimization on an organization-wide basis as the tools are not available to dynamically obtain and process all the variables.",customer satisfaction,38883
11207774,2021,"the autonomously acting robot includes an actuality input system into which environment information relating to an actual space is input, a virtual reality input system into which an action order forwarded by a virtual character is input, an operation control unit that autonomously determines a first motion of the robot based on the environment information, and heteronomously determines a second motion of the robot in accordance with the action order, and a drive mechanism that executes the first motion and the second motion.",the environment,30641
20210141897,2021,"various embodiments of the present disclosure improve these existing technologies by improving the prediction accuracy and error rate, as described herein, for example, with regard to experimental results.",prediction accuracy,67304
20200143300,2020,"a further example embodiment provides a non-transitory computer readable medium including instructions, that when read by a processor, cause the processor to perform one or more of receiving sensor data from one or more sensors associated with a building, storing a block including the sensor data to a shared ledger of a blockchain network, the one or more sensors associated with one or more buildings, requesting a risk assessment for the sensor data, by a blockchain node, calculating the risk assessment with one or more machine learning algorithms based on the sensor data, historical sensor blockchain data, importance of the one or more sensors, and a degree of concern related to the sensor data, providing the risk assessment to the blockchain node, and generating an alert in response to the risk assessment above a threshold.",risk assessment,61636
20210354726,2021,"optionally, in any of the preceding aspects, the environment interaction metrics are stored in a data tube and processed by an algorithm to obtain the indicator.",the environment,72196
20190069778,2019,"the use of tele-monitoring health care devices is grown widely all over the world due to several factors such as reduction in costs of health care, an increase in the number of aging and chronically ill population and the increased coverage of health care to remote, rural and small regions.",health care,57965
20170330103,2017,"summary  aspects in accordance with some embodiments of the present invention may include a method of learning appliance signatures for appliance detection, comprising retrieving energy consumption data pertaining to at least one home environment from an energy meter, wherein the at least one home environment comprises one or more appliances; identifying one or more patterns in the energy consumption data by applying signal processing algorithms to the consumption data; generating at least one question for a user based at least in part on the one or more patterns; receiving a user input in response to the at least one question generated from a user device; determining at least one appliance in a running mode, amongst the one or more appliances in the at least one borne environment, based at least in part on the one or more patterns and the user input; and determining an appliance signature by extracting a canonical pattern from the energy consumption data based at least in part on the user input.",energy consumption,52002
7826927,2010,"note that the objects that has the possibility to come into contact with the robot include not only stationary objects, such as boxes on a floor, but also moving objects such as human beings or other robots.",human being,4391
10226172,2019,it is also the fastest growing developmental disability (10-17% annual growth) according to an autism society estimate based on 2003 us state educational data.,education,17175
10095600,2018,"computing is a global industry, where 92% of the world population resides in non-english speaking countries, and 73% of internet users are non-english speaking users.",of the world,15347
9197638,2015,"thus, various health care services, providers, and stakeholders (i.e. a doctor, nurse, or the like) may implement processes and methods that ensure that a person's protected health information (phi) is secure and shared with the actual person whose health the information is about.",health care,11302
20120265355,2012,"background of the invention  the electrical grid in the united states and most other areas of the world is historically divided into two networks: the transmission grid, and the distribution grid.",of the world,46716
7219055,2007,"in this view, the model-adaptive speech recognition apparatus is adaptive to the environment thereof.",the environment,1597
20200352514,2020,"in other features, the hrv controller is further configured to determine the comfort of the occupant of the environment based on the n hrv parameters and the comfort classification model.",the environment,61669
20060282527,2006,"this user will typically come from the financial, insurance, real estate (fire) or education vertical markets, or similar generic small business.",education,39780
11210598,2021,"increasingly, online education has become popular as a convenient and effective means for learning.",education,30708
8718752,2014,"in at least some instances, devices that are worn by the patient may be somewhat uncomfortable, which may lead to patients not wearing the devices and not complying with direction from the health care provider, such that data collected may be less than ideal.",health care,9152
8229770,2012,"however, certain limitations and difficulties have been identified in more effectively providing loss control for payment of health care claims.",health care,6512
20210052231,2021,"such infectious diseases further risk the health of people performing various operations in one or more enterprises, organizations, government offices, health care centres, schools etc.",health care,65478
20120004924,2012,"technological field  embodiments of the present invention relate generally to health care management solutions and, more particularly, relate to the provision of a mechanism by which to improve outcomes related to communications intended to create positive change in the behavior of the recipient.",health care,46529
11068492,2021,"background  in information management environments, for example, databases, multitenant database environments, customer relationship management (crm) systems, the process for finding information (e.g., records) is separate and distinct from the process for creating the information within the environment.",the environment,27910
10482182,2019,"with a rapid development of artificial intelligence, as well as with the rapidly emerging hardware and software technologies, the dialogue systems has been widely applied in a lot of fields including business enterprises, education, government, healthcare, entertainment, etc.",education,19478
11437148,2022,"for example, as a result of these limitations in the current technologies, currently only about 30%-40% of patients treated with a specific immunotherapy see a partial or complete response to the treatment, which increases treatment timelines, allows disease progression, resulting in increased health care costs and exposes patients to unnecessary treatments and side effects, and reduces their overall quality of life similar limitations are present for many disease diagnosis/treatment pairs.",health care,36212
20200241538,2020,"since the reference contour is taught by measuring the load forming the environmental object, a protected zone flexibly adapted to the load can be defined.",the environment,60116
20060184496,2006,"a molecular diagnosis methodology according to an embodiment of the invention uses boosting classification with imac seldi protein profiling to provide an effective means to distinguish depression patients from the controls, which is confirmed by 10-fold cross validation and roc analysis.",cross validation,40047
10495739,2019,"the method also includes obtaining, based on the sensor data and by one or more processors, a point cloud frame representative of the environment.",the environment,19578
8352196,2013,"this provides rather exact and complete but more or less raw data, which are complicated to be interpreted by a patient or his or her health care provider (hcp).",health care,7132
10762359,2020,locations of vehicles are determined in the environment in three dimensions using the refined correspondence estimates to automatically determine a traffic scenario according to the locations of vehicles.,the environment,21889
20150187228,2015,"the invented system provides a system that allows users to efficiently enter, access, and analyze medical information, without disrupting patient-doctor interactions or medical facility course of business; which assists in all stages of medical assessment and treatment; and which is tailored to the particular medical practice or specialty and taking into account the developing habits, preferences, performance, and individual patient histories, of an individual user.",dual use,49551
10382484,2019,"these embodiments detect attackers as they land on container instances and push their way towards the most important assets in the environment, referred to as “crown jewels”.",the environment,18455
20170177810,2017,"based upon this risk adjustment calculation, capitation payments to private health care plans for the health expenditure risk of their enrollees may be adjusted.",health care,53569
7213009,2007,increasingly clinicians and health care researchers experience demands for more accurate and accessible information.,health care,1572
20070248938,2007,description of the background  a study of american 8th graders by the us department of education in 1998 found that 66% of students were unable to summarize what they read.,education,40689
7149773,2006,"for example, the system may be adapted to applications in which a mobile telephone uplinks to a remote data center, remote computer, remote computer system or remote health care provider or authorized user via a mobile telephone to transfer data stored in the communication module or obtained from the imd, or to receive data from such remote computers or health care providers.",health care,1248
20080201287,2008,"in contrast, when using neighboring selected item pairs from other (multiple) users, a relation within neighboring selected item pairs may be usable that was never considered by the individual user, and this relation then allow recommending an unexpected item.",dual use,41770
11144991,2021,"in addition, the sensory experience beyond reality can be achieved through simulation and superposition of the scene information (image, sound, touch and the like) which is difficult to experience in a certain time and space range of the real world, and by applying the virtual information to a real scene and allowing them to be sensed by human beings.",human being,29356
7508785,2009,the docsis media access control (mac) sublayer specifies that the cmts provide a single carrier transmitter for each downstream (i.e. from head-end to subscriber) channel.,access control,2840
11468375,2022,"the terms “energy consumption” and “fuel consumption” (which are used interchangeably herein unless required otherwise by context) shall be interpreted accordingly, and the term “energy” is used broadly and is not limited specifically to (though it may include) the physical energy quantity that is conventionally measured in units of joules.",energy consumption,37294
20110107418,2011,embodiments of the access control anomaly detection system and method finds these misconfigurations of access control lists that can cause certain individuals or groups to have unwarranted or unintended access to certain objects.,access control,45288
10909691,2021,"these experiments have revealed an underlying structure to behavior in these organisms, which in turn has uncovered strategies used by invertebrate brains to adapt behavior to changes in the environment.",the environment,25068
7239752,2007,"other tracking methods have been utilized for the purpose of reducing the dependence on visible landmarks, thus expanding the tracking range within the environment, by auto-calibrating unknown point features in the environment (u.",the environment,1681
20210035672,2021,the process of managing administration and delivery of drugs has been called therapeutic drug management (tdm) in the health care industry.,health care,65247
11325625,2022,"the operational performance of the railway asset, the status of the at least one component of the railway asset, or the condition of the environment surrounding the railway asset may be considered acceptable when at least one of a hatch, a valve, a door, wheels, brakes, axles, a railcar connection is operating in an expected manner, an amount of load disposed in or on the railway asset is within a given range, and no leaks have been detected based on odors, scents or smells detected by a sensor of the data collection unit.",the environment,33124
20190179838,2019,"further, it is possible to prevent the user from unnecessarily additionally purchasing books and support the user to save the cost of purchasing the books by determining a completely read state by possessing books of the reader and selecting and recommending books which are required for the reader and not completely read by education area among the possessing books based on the determined state.",education,58050
20140257953,2014,"embodiments of the present invention enable one-to-one and/or one-to-many communication of germs, and can be used for example in the mobile communication, education, social media, advertising, security, and other sectors.",education,48554
10572595,2020,"b. background  question answering (qa) and information extraction systems have proven to be invaluable in wide variety of applications such as medical information collection on drugs and genes, large scale health impact studies, or educational material development.",education,24152
20080287746,2008,"the risk assessment logic branches dynamically to relevant and/or critical questions, thereby saving the patient time and providing targeted results.",risk assessment,41654
20090075246,2009,related art  promoting students' ability to effectively solve problems is viewed as a national educational priority.,education,42302
7873586,2011,"summary of the invention  the present invention provides a risk assessment method comprising:  receiving, by an inference engine within a computing system, first sensor cohort data associated with a first cohort, said first cohort located within a gate area within an airport;  receiving, by said inference engine, first group technology inferences associated with said first cohort;  generating, by said inference engine, first risk cohort inferences, said generating said first risk cohort inferences based on said first group technology inferences and said first sensor cohort data;  receiving, by said inference engine, first inference data generated by said inference engine, said first inference data comprising a first plurality of inferences associated with said first cohort and a security perimeter area surrounding said airport;  receiving, by said inference engine, second inference data generated by said inference engine, said second inference data comprising a second of plurality of inferences associated with said first cohort and a pre/post security area within said airport;  receiving, by said inference engine, third inference data generated by said inference engine, said third inference data comprising a third of plurality of inferences associated with said first cohort and said gate area within said airport;  generating, by said inference engine, fourth inference data, said fourth inference data comprising a fourth plurality of inferences associated with said first cohort and said gate area within said airport, wherein said generating said fourth inference data is based on said first risk cohort inferences, said first inference data, said second inference data, and said third inference data;  generating, by said inference engine based on said fourth inference data, a first associated risk level score for said first cohort; and  storing, by said computing system, said fourth inference data and said first associated risk level score.",risk assessment,4620
7149773,2006,"in some embodiments of the present invention, communications between the remote computer system or remote health care provider and the imd include remotely debugging, updating or installing new software in the imd or the communication module.",health care,1242
8768727,2014,"in one embodiment, the system and method tracks the actions taken and the progress made by individual users.",dual use,9510
20150262496,2015,"in some cases, improved metrics are desired to facilitate compensation of originators and/or sponsors of educational content in a manner that reliably corresponds to actual subscribed and/or for-credit participation in the on-line coursework.",education,49967
10943184,2021,"the actual selection of an advertisement to be placed on a web page presented to an individual user may be based, at least in part, on a bidding process whereby an advertiser who is willing to pay a higher cpm, cpc, or other cost measure, is more likely to have its advertisement presented to the user.",dual use,25707
8229868,2012,"a data converting apparatus includes a decomposing unit subjecting temporal alteration data of a stimulus value to wavelet decomposition to extract a plurality of time-frequency components contained in the temporal alteration data, a weighting unit weighting the plurality of the extracted time-frequency components with weighting coefficients which are predetermined based on a relationship between a temporal alteration of a stimulus value and a temporal alteration of a sensitivity of human beings to the stimulus value, and a synthesizing unit subjecting the plurality of the weighted time-frequency components to wavelet synthesis to estimate a sensitivity brought to human beings when the stimulus value is subjected to temporal alteration according to the temporal alteration data.",human being,6524
11230735,2022,"in some embodiments, the methods further comprise communicating the predicted survival time to the subject or a health care provider.",health care,31027
10482572,2019,background  autonomous vehicles are generally capable of sensing the environment and navigating without human input.,the environment,19498
20200167631,2020,"the current invention aims to help resolve such issues by offering a relief system that uses a new robotic specie, intended to improve the quality of life for human beings (hbs) in terms of education, health-care, well-being, safety and security.",human being,60793
20210240940,2021,this state of affairs becomes problematic for users who seek to have their interaction with software interfaces reflect their emotional states or goals because the static framework of conventional interaction often poorly corresponds to the purposes of the interaction with the software and the fulfillment of the emotional goals that the users may have.,emotional state,69355
20070143851,2007,"they lack the ability to define and enforce more granular access control permissions and restrictions, including the extensibility of this granular access control function to future access control objectives.",access control,40247
11324666,2022,execution of the instructions further causes the processor to determine an ambient light profile using the environmental light sensor.,the environment,33118
20210183386,2021,"for example, if an environment parameter changes, the user has a requirement of adjusting the environment parameter, and therefore a voice interaction intention of adjusting the environment parameter is generated.",the environment,68129
20200350072,2020,these entries are available for possible adoption by the health care provider into the ehr as well as for medical expense invoicing.,health care,60670
9930102,2018,"in one embodiment, emotional state threshold parameter data associated with each type of emotional state data is identified and defined.",emotional state,16264
20190378094,2019,"accordingly, there is a need for lower costs and better insights that are tailored to a self-funded employer's business and people, reliable vendors or partners that deliver what they promise, improved health for their people, and a transparent roi.",lower cost,57052
20200342262,2020,"for example, in the retailing field, the results from causal discovery can be used to assist in making various sales strategies; in the field of medical health care, the results from causal discovery can be used to assist in making treatment plans for patients, and the like.",health care,59750
20210187734,2021,"apart from the possibility of damage to the robot and other equipment, in various settings a system may also interact with a physical environment involving people, in which case it is particularly important to avoid actions that are dangerous to these human beings.",human being,68258
20080077436,2008,the patient station is operatively coupled to a communications network that facilitates transmission of data representative of a patient's environmental and physiological data to the health care provider analysis system that is located remote from the patient health system.,health care,41574
7257530,2007,the current internet provides huge amount of information which is beyond the human being's capability to handle it.,human being,1760
7966408,2011,"the environmental changes can be categorized into three different dimensions: network qos, mobile device capabilities, and user context.",the environment,5165
20050015269,2005,"in design and in message, the signs are educational and optionally reflect the geographic area and the body of water in the area where they are to be installed.",education,38328
10041932,2018,"thus, in certain embodiments, the risk assessment method includes identifying whether a subject falls within any of a multiplicity of identified metabolite tails involving a plurality of metabolites, e.g., where the predictors of the different metabolite tails are at least partially disjoint, e.g., they have low mutual information, such that risk prediction improves as multiple metabolites are incorporated with low mutual information.",risk assessment,14991
20210157331,2021,"in an embodiment, when the control module determines that the first recognition signal does not meet a preset condition, the controller controls the first communication module to send the environmental image to the server and receive the second recognition signal.",the environment,67561
11176449,2021,"each group includes a number of sequential layers based on an estimate of duration and energy consumption by the hardware chip to perform inference of the neural network by performing the mathematical operations, sequentially by layer, of corresponding portions of layers of each group.",energy consumption,29981
20170004356,2017,"the message may include the communication of the interpretation of the identified first facial expression, gesture, vocal intonation, or indication of emotional state derived from biometric data, via a textual message, an audible message, or a tactile message.",emotional state,52416
10878294,2020,"the mobile cleaning robot includes a storage device configured to store a map of the environment, a cleaning head, and a wireless communication module configured to communicate with an external computer that has a calendar of events in an environment.",the environment,23440
20150339363,2015,"finally, recent work on neuro-feedback and bio-feedback has shown that humans may control their own emotional states and brain states “at will” provided that they are given precise information about the underlying brain excitation patterns corresponding to the subject's response to a simple stimulus—such as a painful prick.",emotional state,50001
10289939,2019,"in the aforementioned technical scheme, preferably, the quality comparing unit comprises: a main character determining unit for determining whether main characters of the plurality of images are human beings or not when the number of images in the same group is plural; a first detecting unit for detecting human body image information of each image in the plurality of images when the determining result is that the main characters of the plurality of images are human beings, so as to obtain a first detection result, wherein the human body image information includes information of the total area and position that a human body occupies in the image, human face information and five-sense-organ information; and a first ranking unit for ranking the plurality of images according to the first detection result.",human being,17694
7415663,2008,"these primary objectives of the present invention produces many advantages, including wider applicability of a data collection system, greater functionality and utility for users, lower costs and time for customization, and more useful branching logic options.",lower cost,2477
11342051,2022,"the prompts for information can optionally be customized for individual users, to prompt for different types of information based on factors such as the user's history, attributes, context, and so on.",dual use,33569
9002765,2015,background information  dynamical systems interact with the environment by exchanging information and energy.,the environment,10491
10098569,2018,3] to diagnose childhood pneumonia in resource poor and remote areas of the world.,of the world,15386
20200090042,2020,"the method comprises obtaining data identifying a set of trajectories, each trajectory comprising a set of observations characterizing a set of states of the environment and corresponding actions performed by another agent in response to the states and obtaining data identifying an encoder that maps the observations onto embeddings for use in determining a set of imitation trajectories.",the environment,60304
20180160102,2018,"thus, the mode of operation to be used for the 3d reconstruction of an area of the environment (i.e. coarse or refined mode of operation) may be decided automatically based on objective criteria.",the environment,53648
20200294642,2020,the healthcare database is configured to transmit the medical records and the lifestyle and wellness records to health care facilities and to third parties.,health care,62477
20130144937,2013,) between the users to thereby induce a positive or negative emotional state in the users.,emotional state,47186
11496553,2022,"however, distributed computing causes resource utilization accompanied by the energy consumption of the computing nodes.",energy consumption,38252
8121858,2012,"however, the medical information associated with an individual, the individual's treatment needs, treatment options, treatment providers, and various treatment plans are stored at various locations by various health care providers, organizations, and/or individuals.",health care,5941
9713964,2017,"background art  from the viewpoint that a fuel cell scarcely influences the environment, a vehicle is equipped with the fuel cell.",the environment,13805
20120157800,2012,a proficient health care professional can minimize false positive diagnoses using such instruments by becoming more accurate in the clinical diagnosis of lesions.,health care,46841
20190236711,2019,"the system and method described herein comprise an investment policy statement, a plurality of alternative investments, one or more risk management variables, a behavioral finance analysis, and one or more optimization tools.",risk management,56585
20200327821,2020,field of the invention  the present disclosure relates to an adaptive incentivised education platform.,education,59453
11152632,2021,"according to this mode, the possibility of the scavenging process not being performed at an appropriate timing can be reduced even when the environments in which the subsystems are used respectively may be different every time the fuel cell system is stopped.",the environment,29575
20090171740,2009,"for example, hewlett packard recognizes that its knowledge about markets, products and customers is its biggest source of competitive advantage.",competitive advantage,42399
20160292572,2016,"in one example, the present invention relates to mechanisms and processes for remotely aggregating data relating to infant emotional states.",emotional state,50439
20160042133,2016,"in addition to educational achievement, mental illness has a deleterious impact on employment and productivity.",education,50362
11049342,2021,if the matching credential information that indicates at least one of the one or more users are authorized is found the method may comprise sending one or more unlock signals from the remote cloud server to the one or more the access control devices via a lock translation layer.,access control,27605
20190265082,2019,"in another embodiment, the environmental data comprises temperature data and at least one of the following: humidity data, oxygen data, carbon dioxide data, phosphine data, pressure data, and ethylene data.",the environment,58451
10997372,2021,"the method also includes training, by the computing device, an emotional state classifier module for predicting an emotional state of the user based on the one or more textual messages.",emotional state,26624
10679126,2020,"in a first aspect, an action selection system is provided for selecting actions to be performed by an agent that interacts with an environment by performing actions from a predetermined set of actions, the system comprising: a manager neural network subsystem that is configured to, at each of a plurality of time steps: receive an intermediate representation of a current state of the environment at the time step, map the intermediate representation to a latent representation of the current state in a latent state space, process the latent representation using a goal recurrent neural network, wherein the goal recurrent neural network is configured to receive the latent representation and to process the latent representation in accordance with a current hidden state of the goal recurrent neural network to generate an initial goal vector in a goal space for the time step and to update the internal state of the goal recurrent neural network, and pool the initial goal vector for the time step and initial goal vectors for one or more preceding time steps to generate a final goal vector for the time step; a worker neural network subsystem that is configured to, at each of the plurality of time steps: receive the intermediate representation of the current state of the environment at the time step, map the intermediate representation to a respective action embedding vector in an embedding space for each action in the predetermined set of actions, project the final goal vector for the time step from the goal space to the embedding space to generate a goal embedding vector, and modulate the respective action embedding vector for each action by the goal embedding vector to generate a respective action score for each action in the predetermined set of actions; and an action selection subsystem, wherein the action selection subsystem is configured to, at each of the plurality of time steps: receive an observation characterizing the current state of the environment at the time step, generate the intermediate representation from the observation, provide the intermediate representation as input to the manager neural network to generate the final goal vector for the time step, provide the intermediate representation and the final goal vector as input to the worker neural network to generate the action scores, and select an action from the predetermined set of actions to be performed by the agent in response to the observation using the action scores.",the environment,20866
11436793,2022,the ml model may generate a latent space representation for the ambient light of the environment and feed the latent space representation to the shading network to determine the image of the visible portion(s) of the object interest.,the environment,36157
7853540,2010,"for those fitness evaluation procedures that require human interaction (which might be useful or necessary for many practical problems, such as a recommender system or a user interface that evolves to fit the preferences of an individual user), the number of candidates that may reasonably be considered can drop into double or even single digits.",dual use,4553
8682593,2014,"an individual is not limited to a human being but may also be other organisms including but not limited to a mammal, invertebrate, plant, fungus, virus, bacteria, or one or more cells derived from any of the above.",human being,8931
10130308,2018,background  various respiratory parameters can be important indicators for both emotional state and physical condition in general.,emotional state,15579
8473448,2013,"this is because chemical compounds are substances (biotoxic substances) that greatly affect not only human beings but also the environment, i.e., the ecosystem, and all types of life that depend on the ecosystem.",human being,7710
9466031,2016,"as a result, most enterprises that sell services or products, consider collecting and assessing user feedback to be a crucial aspect of increasing sales by developing and targeting services or products to individual users.",dual use,12504
9032215,2015,"summary of the invention  in general, the present invention provides a solution to the problem of creating consistent and intuitive user interaction to manage access control in smart-spaces, regardless of the specific underlying security mechanisms.",access control,10584
20060031938,2006,"to protect information of the esm itself; an access control section214including a card door (for example, a door with an rf card system), a biometrics system for recognizing fingerprints, iris patterns, palm prints or weights and a cctv etc.",access control,39532
10621289,2020,"in some embodiments, the 3d physical model of the biocompatible device and a 3d physical model of the bone of the subject are used for surgeon and/or subject education.",education,20014
11340764,2022,"user accumulates information from several sources on the internet for various purposes such as journalism, research, education, media coverage, social networking, teamwork collaboration, reviewing of shopping products, or to manage any data that they like or needed while browsing.",education,33496
20050228242,2005,"in this kind of conventional health care supporting system, as shown infig.",health care,38730
20070143851,2007,"the first generation of endpoint access control included operating system services that controlled user access to one or more system resources, such as applications, data files, configuration settings, etc.",access control,40240
20210240794,2021,"the web content, which is often rendered within web browsers as web pages, presents news, government information, entertainment, educational material, and so on.",education,69291
8968004,2015,"in one embodiment, a developer, an user and a professional (such as instructor, physician but not limited to) and an involved participant such as a parent or a nurse may connect with each other using the multimedia tool to clarify, teach and observe the social media interaction and guide the other participants in a educational process of understanding the physiological condition, pathological condition and simple mechanism of physiological functions.",education,10367
20110166895,2011,"in addition, such an unbundled risk assessment result will be initiated and used for a purpose not necessarily directly related to the marketing, sale, or acquisition of insurance.",risk assessment,45648
10779763,2020,"health care professionals' attitudes recently have shifted from compliance-seeking and traditional, paternalistic physician-led care to a model in which all are “team members”.",health care,22098
10977494,2021,"the wireless sending may—in case a human being may have operated the digital camera for capturing the digital image—be directed to the operator of the camera, and more precisely to a smartphone of the operator.",human being,26242
20130287006,2013,"a mobile device that provides services through internet protocols will generally prefer a link-layer connection that provides higher signal-to-noise ratios, lower power requirements, lower costs for the ip connectivity, and/or other benefits.",lower cost,47571
11425544,2022,the vehicle control unit generates a perception of the environment based on data from environment detection sensors in the vehicle using artificial intelligence.,the environment,35748
8706525,2014,"when individual users are satisfied with the foods they are eating, they are more likely to follow the plan and reach their diet and exercise goals.",dual use,9088
11189050,2021,a computer can model an environment by processing data characterizing the environment using digital image processing methods.,the environment,30253
11123873,2021,"therefore, recent development of an interaction robot sets a primary object of implementing interactions of real meaning, which can provide a service optimized through emotional communication with human beings.",human being,28972
9930102,2018,"in one embodiment, the emotional state data includes the user's blood pressure and is obtained using a blood pressure monitor operatively coupled to, and/or otherwise associated with, a computing system used to implement at least part of the interactive software system.",emotional state,16255
10607502,2020,another object of the present invention is to provide an educational toy that generates pronunciations automatically when given a combination of letters.,education,24644
10857941,2020,"the ecu is also configured to determine, based on the image data, whether a view of the environment behind the vehicle along a lengthwise centerline axis of the vehicle is obscured.",the environment,23116
8640194,2014,"in the information processing device of the present invention, the access control means may further comprise access monitoring means that acquires access information on access by the processor belonging to the second domain and learning means that stores the access information.",access control,8703
